"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","s-52","s-92","s-42","s-82"
"1","CISH",5865.16969065361,7.07807057705302,0.57796009244445,12.2466424059085,1.75096137529938e-34,2.36554881802946e-31,10431.8835338501,12855.6440921929,99.9330339385145,73.2181026329291
"2","VDR",5474.22474562315,8.4536788681711,0.700607285970335,12.0662160349401,1.59291906467094e-33,1.07601682818522e-30,8914.95890747782,12920.8832680825,19.217891142022,41.8389157902452
"3","IL4I1",4770.93358167135,6.49668817074093,0.672138271162018,9.66570190908667,4.21718959296071e-22,1.89914104669664e-19,8444.92592465825,10431.2152584575,65.3408298828748,142.252313686834
"4","CCL17",10605.5260173138,10.7750439140512,1.15510480568802,9.32819590135219,1.07688229563542e-20,3.63716995350864e-18,25320.5343502529,17078.5583153176,0,23.0114036846349
"5","FCER2",21611.8644601154,4.65582127061411,0.51326091937832,9.07106131566263,1.17863297861343e-19,3.18466630821348e-17,41328.7182711897,41820.0749662092,1693.09620961214,1605.56839345066
"6","SOCS3",9533.66319371665,4.92627656146649,0.549219780739968,8.96959056141292,2.97618677794475e-19,6.70138056167227e-17,17233.118361012,19688.1253509019,518.883060834594,694.526002118071
"7","GZMB",2964.78385157585,13.0730157452328,1.48375486991254,8.81076518118079,1.24294487503296e-18,2.3988836088136e-16,6356.84000704162,5501.24942636701,0,1.04597289475613
"8","BATF",3002.61210644974,4.74088220910313,0.572230896221433,8.28491128390344,1.18197159485781e-16,1.99605453081613e-14,5479.44510577842,6098.98133519343,176.804598506603,255.217386320496
"9","ARHGEF17",874.876411029473,10.3908385824267,1.25894874842829,8.25358347224138,1.53714425054434e-16,2.30742431387267e-14,1411.52329083089,2085.89040749749,0,2.09194578951226
"10","HOMER2",2827.46164663822,4.71348379945534,0.578736919200829,8.14443254452149,3.81064721669175e-16,5.14818438975056e-14,5325.61612958293,5570.0150441966,165.273863821389,248.941548951959
"11","ZBED2",762.142136591381,5.5454977595652,0.697955793436824,7.94534240092551,1.9365511991978e-15,2.37843697283293e-13,1504.10554502262,1479.34239382113,44.2011496266506,20.9194578951226
"12","LMNB1",9653.36551366113,4.26035588760103,0.540319730136609,7.88487935934503,3.14839532384064e-15,3.54456840209059e-13,19440.8490378918,17258.4068542565,837.90005379216,1076.30610870406
"13","ARNTL2",1385.7170145686,5.29409482329675,0.689199082792101,7.68151751138318,1.57214983962258e-14,1.60948422691807e-12,2925.59923245877,2480.85190477512,42.2793605124484,94.1375605280518
"14","FOSL2",9233.67834961027,5.2097205535808,0.678884291785636,7.67394475997954,1.66785930250577e-14,1.60948422691807e-12,13918.673660948,22045.5517877778,320.938782071768,649.549167643557
"15","LRRC32",2017.25355744537,4.84009014895181,0.640811790031594,7.55306039034202,4.25147736293604e-14,3.82916394488439e-12,3545.18816435729,4252.8889796145,94.1676665959078,176.769419213786
"16","ICAM1",5641.57723411338,3.99361757020894,0.529647214872244,7.54014645611275,4.69443936560517e-14,3.96386723933287e-12,9661.3143105004,11572.0192260406,668.782611742366,664.192788170143
"17","QSOX1",6634.98670343739,4.32470113970882,0.58824326794355,7.35189227889955,1.95420275169882e-13,1.55301642208535e-11,10323.6335135643,14955.6402674503,528.492006405605,732.181026329292
"18","ADTRP",333.260271409969,6.74299555040782,0.918468285509507,7.34156601462537,2.1110898158686e-13,1.58449018957694e-11,729.263294556421,592.442245916448,1.9217891142022,9.41375605280518
"19","ARID5A",7628.08203507893,3.90663836538975,0.538979725668402,7.2482102374909,4.22314749226991e-13,2.98993102986186e-11,13002.8215156359,15602.7423634364,862.883312276788,1043.88094896662
"20","IL2RB",1913.01872729783,5.0286888597984,0.694393427085837,7.2418439801516,4.42624874887026e-13,2.98993102986186e-11,4197.53697081597,3228.45759605064,69.1844081112792,156.89593421342
"21","PECAM1",2507.78442529383,-3.84507959254837,0.53476781304409,-7.19018515841632,6.47035152534601e-13,4.16259281463926e-11,317.628348996254,335.011984297991,4958.21591464168,4420.28145323941
"22","MOB3C",6400.29409256877,4.43462788335949,0.62773763752199,7.06446072098734,1.61240943190245e-12,9.90165973863731e-11,9253.95239205678,15216.5969710088,449.698652723315,680.928354486241
"23","SLC39A8",4818.46390369402,3.99721411773057,0.572418779219399,6.98302407754953,2.8889287617326e-12,1.69693163352206e-10,8252.63970441388,9886.37997873072,461.229387408528,673.606544222948
"24","TNFRSF8",433.28850974225,4.46743982184699,0.654482160888735,6.82591534012259,8.73664433153408e-12,4.91800270495939e-10,928.671226661693,729.973481575623,32.6704149414374,41.8389157902452
"25","HIST1H3B",246.741848901845,4.68697183576691,0.712249913489776,6.58051583720437,4.68818890061225e-11,2.53349728189086e-09,468.608640447388,481.359324807114,19.217891142022,17.7815392108542
"26","SGK1",3401.78634523086,3.74833058782394,0.570153559807039,6.57424745202417,4.88998504168439e-11,2.54091145819831e-09,5146.14899068819,7518.37421603492,493.899802349966,448.72237185038
"27","CSF2",245.569029680115,7.32211788700181,1.11898414389428,6.5435403414381,6.00792683277953e-11,3.00618857447598e-09,606.769850548898,370.27640369778,0,5.22986447378065
"28","ENPP1",2248.27493192262,8.06310251236243,1.24189618351723,6.49257371057099,8.43822089890657e-11,4.07144158372242e-09,4194.6882860716,4765.98628188142,0,32.4251597374401
"29","APBB2",679.24375959401,-3.95188602827782,0.612302955637158,-6.4541351497569,1.08838649449013e-10,5.070379841573e-09,76.9144880977476,88.1610484994714,1078.12369306743,1473.77580871139
"30","DGAT2",1623.10071208687,4.14940593779264,0.646129603236252,6.42194060914347,1.34547920010842e-10,5.86368515918217e-09,2776.04328337982,3371.27849461979,119.150925080536,225.930145267324
"31","NFIL3",5022.21080021693,7.11691994582586,1.10800344622999,6.42319296933718,1.33445150272064e-10,5.86368515918217e-09,7822.48830801536,12123.9073896473,9.608945571011,132.838557634029
"32","NCS1",234.425007552778,4.83646460055429,0.755196689225374,6.40424497294233,1.51115312807957e-10,6.25202884036319e-09,528.43102007897,377.329287577738,17.2961020278198,14.6436205265858
"33","PTPN1",37455.9352780944,3.27662198467533,0.511761184691195,6.40263873598091,1.52714249986666e-10,6.25202884036319e-09,66079.5156725704,69730.0997001719,6908.83186555691,7105.2938740784
"34","SLC37A3",2490.48016165291,4.71255518756629,0.741926149449725,6.35178473094864,2.12831026324009e-10,8.40379835253415e-09,3882.75730656407,5714.59916373573,99.9330339385145,264.631142373301
"35","SOCS1",4334.45954749187,4.58428878216702,0.722541053138114,6.34467586617632,2.22894232692022e-10,8.40379835253415e-09,7370.97177603414,9274.54230214439,190.257122306018,502.066989482943
"36","WARS",35303.1285590792,3.649197146042,0.575224008728523,6.34395833739312,2.23935411318452e-10,8.40379835253415e-09,52143.7499031563,78644.9449244384,4658.41681282614,5765.40259589579
