"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","s-52","s-53","s-92","s-93","s-42","s-43","s-82","s-83"
"1","ASPM",874.670544229299,6.43301419124718,0.719609527782897,8.93959007333766,3.90616653144314e-19,4.62865894914228e-16,32.7598745601517,1724.7021963328,28.2115355198308,1538.09695805796,1.9217891142022,1779.73475965323,16.7355663160981,1875.20167428011
"2","KIF20A",277.610080525082,8.58776190819108,0.965045767609006,8.89881308890467,5.64470603553937e-19,4.62865894914228e-16,0,621.784730154789,3.52644193997886,542.672157509682,0,592.385456038147,2.09194578951226,458.419912768543
"3","HJURP",314.347465851217,6.56121948743689,0.764252510060308,8.5851461409255,9.07210288518326e-18,3.71956218292514e-15,9.97039660526358,680.103849672755,3.52644193997886,619.97138924798,0,586.584075075858,11.5057018423174,603.117872425586
"4","KIF18B",414.208678185813,9.47012393817622,1.09933611385128,8.61440265525321,7.03071906763542e-18,3.71956218292514e-15,0,1007.72007990604,5.28966290996828,912.604195114392,0,742.576763172954,0,645.478724383155
"5","MKI67",3879.78035159005,7.85241873558372,0.920471745535469,8.53086341179946,1.45259460713148e-17,4.76451031139126e-15,39.8815864210543,9354.2152438597,74.055280739556,6498.6568397126,0,8028.46665392287,19.8734850003665,7023.09372306428
"6","TOP2A",2323.15570721314,4.44208693104887,0.548924982666585,8.09233879185087,5.85298392721439e-16,1.59981560677193e-13,235.016491409784,4999.1492304445,326.195879448044,4316.92546228269,115.307346852132,4648.19534656265,141.206340792078,3803.24955991322
"7","AURKB",409.493590571821,7.57630821790381,0.96003256828704,7.89171999802258,2.98049850707527e-15,6.98288221657634e-13,8.54605423308306,1042.02544432837,8.81610484994714,954.408881666737,0,756.757916636327,0,505.394322860105
"8","ANLN",241.04023772826,6.3421099683295,0.8160420195075,7.77179338406753,7.73826014446417e-15,1.58634332961515e-12,11.3947389774441,703.25997065783,8.81610484994714,510.332683006925,0,357.107228123105,3.13791868426839,334.273257526559
"9","E2F8",169.25459652475,7.49741629983859,1.01443360261603,7.3907412772055,1.46012485510401e-13,2.66067195818953e-11,5.69736948872204,461.407151480381,1.76322096998943,422.77947154824,0,252.682370801908,0,209.707187908757
"10","SPC25",125.454890547952,9.10631286675292,1.25147715486558,7.27645153676895,3.42715151082548e-13,5.62052847775379e-11,0,360.206326434498,0,286.322664500021,0,208.849714642393,1.04597289475613,147.214445911948
"11","BIRC5",404.250901789602,7.22314366583225,1.00882200020901,7.15997833546031,8.06898118430077e-13,1.20301174020484e-10,12.8190813496246,1083.19188163517,8.81610484994714,868.433205549651,0,837.977250108368,0,422.769690824055
"12","DEPDC1",95.3010678326916,6.71141501962012,0.942856746375812,7.11817043831706,1.09369077575618e-12,1.49471072686677e-10,1.42434237218051,259.863135499174,3.52644193997886,231.897695214893,0,139.877740979628,2.09194578951226,123.727240866167
"13","RRM2",1545.14556297894,6.90739823435009,0.976016341244783,7.07713379628521,1.47166434350764e-12,1.85656117180964e-10,42.7302711654153,4550.6065906225,51.1334081296934,3767.94316340661,0,2427.55563377547,8.36778315804905,1512.82765357378
"14","CHRNA6",141.415766335204,-4.28610433218418,0.613840611711009,-6.98243851972772,2.90099935162552e-12,3.39831352618989e-10,287.717159180463,12.0068775478166,336.775205267981,9.46521204958747,328.625938528576,16.1149471174686,123.424801581223,17.1959894085181
"15","KIF4A",303.964080505268,5.7603793739512,0.837772659418441,6.87582640611584,6.16315148785222e-12,6.73837896005176e-10,22.7894779548882,786.450479381988,15.8689887299048,586.843147074423,0,540.173027377548,5.22986447378065,474.357659049609
"16","SKA1",264.058243994454,3.73649383839201,0.555904597200714,6.72146598032705,1.79905243523708e-11,1.844028746118e-09,45.5789559097763,585.764097511339,47.6069661897145,597.885894465609,24.9832584846286,453.796910827916,29.2872410531717,327.562627513479
"17","HIST1H3G",1211.29199476009,6.13541632001326,0.921381938363327,6.6589283602756,2.75831334146415e-11,2.66096110588306e-09,55.5493525150399,3566.04263170153,52.8966290996828,2449.12361783076,0,2292.19007798874,27.1952952636594,1247.33835368129
"18","CENPA",84.1901650852357,5.96699959906482,0.900805909684919,6.62406799834599,3.49445887262893e-11,3.18384030617302e-09,4.27302711654153,175.814992664458,0,140.400645402214,0,179.198211946251,5.22986447378065,168.604579078641
"19","DLGAP5",371.636417456973,5.67789056422887,0.871663550818987,6.51385567159956,7.3245878863921e-11,6.32227585983318e-09,27.0625050714297,800.172625150921,24.685093579852,749.329287259008,0,731.618599133075,5.22986447378065,634.993364987717
"20","CCNE2",169.319082228188,3.67059857784528,0.567316612533388,6.47010592807074,9.79342384675718e-11,8.03060755434089e-09,19.9407932105272,380.789545087898,21.1586516398731,357.311754871927,38.435782284044,284.267667152146,19.8734850003665,232.774978578721
"21","GTSE1",361.646487730065,5.61585723734691,0.889716040987847,6.31196581676965,2.75513091531938e-10,2.15162604815418e-08,31.3355321879712,897.085279644013,21.1586516398731,690.171711949087,0,716.792847785004,5.22986447378065,531.398014160791
"22","E2F7",148.444971201006,4.72471077553328,0.750927221901101,6.29183579677917,3.13733261202503e-10,2.33873885623684e-08,2.84868474436102,237.564648624657,10.5793258199366,220.066180152909,5.7653673426066,335.835497928046,23.0114036846349,351.888661310895
"23","NEK2",119.283011071141,4.78236604117566,0.761514694500772,6.28007059576289,3.3841932616486e-10,2.41307693439292e-08,12.8190813496246,240.995185066891,10.5793258199366,288.688967512418,0,219.807878682272,9.41375605280518,171.959894085181
"24","PBK",93.5332443213143,5.89007962343984,0.957844597138406,6.14930609937839,7.78226604174095e-10,5.31788179518965e-08,5.69736948872204,218.696698192374,7.05288387995771,212.967271115718,0,156.637285981795,0,147.214445911948
"25","KIF2C",424.735743601251,5.39477217478649,0.88933361352728,6.06608374262355,1.31066809473582e-09,8.59798270146698e-08,34.1842169323323,1017.15405512218,35.2644193997886,898.406377040011,0,851.513805687042,9.41375605280518,551.949318575849
"26","DIAPH3",172.913618938972,4.93917891013459,0.819763793214086,6.02512449442214,1.68979503112817e-09,9.89737089660786e-08,18.5164508383466,463.980053812056,17.6322096998943,369.143269933911,0,255.905360225402,7.32181026329292,250.809796738874
"27","FOXM1",510.692745148477,4.8436488183407,0.802491063307564,6.03576667679888,1.58209714417098e-09,9.89737089660786e-08,39.8815864210543,1181.81980434938,26.4483145498414,1116.10625418052,69.1844081112792,901.147842808845,3.13791868426839,747.815832082629
"28","TYMS",745.449160583325,5.82270857047641,0.966283868518671,6.02587786071883,1.68194168751476e-09,9.89737089660786e-08,28.4868474436102,1725.55983044336,67.0023968595982,1500.23610985961,0,1538.01055289121,8.36778315804905,1095.92976401117
"29","CDK1",454.029627583606,5.52720221430839,0.923032092923066,5.98809321656931,2.12315375331004e-09,1.20068005359602e-07,35.6085593045128,1120.92778249974,35.2644193997886,979.649447132304,0,811.54873683572,6.27583736853678,642.96223812825
"30","NCAPH",386.45889028542,4.00595696555216,0.682129065683918,5.87272580378275,4.28687202979462e-09,2.34349004295439e-07,61.246722003762,876.502060990613,82.8713855895031,782.457529432565,15.3743129136176,687.141345088862,21.9654307898787,564.112335474557
"31","SPC24",59.4054114924235,5.60511938829359,0.957698775801444,5.85269557602074,4.83668957475058e-09,2.5587648072874e-07,5.69736948872204,148.370701126591,0,140.400645402214,0,96.6896827048117,3.13791868426839,80.9469745327803
"32","MND1",47.6776596597337,6.03208841219396,1.0512151727076,5.73820523980565,9.56851181262684e-09,4.90386230397126e-07,0,133.790921247099,3.52644193997886,86.7644437878852,0,63.8151905851757,2.09194578951226,91.4323339282182
