"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","s-54","s-94","s-44","s-84"
"1","GZMB",1758.0074580179,8.07148574420567,0.557650172863258,14.4741024695869,1.76616095183653e-47,2.9636180771817e-44,4615.98937980987,2390.80434115172,10.0036751259694,15.2324359840289
"2","PALLD",2151.0203764852,7.33829169112344,0.520641313795759,14.0947164519529,4.09288467434893e-45,3.43393024177876e-42,4978.4257318678,3574.93941921075,14.2909644656706,36.4253903965908
"3","MOB3C",9856.12392380604,5.49122088699577,0.413463016008739,13.2810449166745,2.98203608727415e-40,1.66795218481534e-37,21872.3089739923,16694.1965639679,457.310862901458,400.679294362499
"4","ZBTB8A",1157.49521174307,6.68295310759705,0.537156475580485,12.4413525879494,1.55842339620441e-35,6.5375861470775e-33,2624.03918889945,1963.38173470684,11.4327715725365,31.1271517934504
"5","B3GNT5",710.147302468684,7.23422777964495,0.585207038380396,12.3618263369938,4.20493311594749e-35,1.40518817524721e-32,1577.32300415614,1243.0147228244,14.2909644656706,5.96051842853305
"6","GAS6",844.563561167243,6.55265389920774,0.530686439718958,12.3475058128071,5.02451075773733e-35,1.40518817524721e-32,1336.66526638967,2004.81555880099,22.8655431450729,13.9078763332438
"7","NFIL3",2360.43967317584,5.6619332028873,0.460997493989586,12.2819175303699,1.13281056852682e-34,2.71550876284001e-32,4892.89075278213,4367.99735055661,64.3093400955176,116.561249269091
"8","DHRS9",629.586031789408,6.62152890279244,0.544242848458104,12.1664968525575,4.68772670572968e-34,9.83250676526799e-32,1384.50686486131,1109.26343101171,10.0036751259694,14.5701561586363
"9","ENPP1",1739.02512719391,6.82241025921716,0.584962567976936,11.6629860314176,1.97009858464173e-31,3.30582542502883e-29,4740.6674849178,2152.37812531172,47.1601827367129,15.8947158094215
"10","GCSAM",2393.47511230004,4.87916261412832,0.418236001429976,11.6660512185612,1.90041180310155e-31,3.30582542502883e-29,4759.51417522481,4500.29482398003,147.196933996407,166.894515998925
"11","EML6",2974.16971524139,-4.77782272676908,0.441993989357857,-10.8097006787591,3.09678858459764e-27,4.72401022268621e-25,218.911556642993,199.900028524391,4425.91169501817,7051.95558077999
"12","CISH",4065.77524245077,5.38363281062669,0.505260296291635,10.6551669508567,1.6494843592134e-26,2.12910365750775e-24,7008.06930339225,8871.92672050981,275.815614187442,107.289331713595
"13","SLC30A4",3646.77291180955,4.40216693817831,0.413080647327492,10.656918852672,1.61871521902572e-26,2.12910365750775e-24,7502.43248759927,6426.60418976052,304.397543118783,353.657426759628
"14","SOCS1",2044.4188854223,4.12205674139692,0.416247773323348,9.90289199263736,4.04408252516849e-23,4.84712176945195e-21,3678.00410068393,4055.42639686393,224.368142111028,219.87690203033
"15","LMO2",1774.81047101199,5.02146120785056,0.512081068679909,9.80598876813657,1.06102706941603e-22,1.18693561498673e-20,3583.77064914887,3305.98301719612,57.1638578626823,152.324359840289
"16","CLCN5",4013.22355016356,4.0967061516301,0.421884133227376,9.71050065403185,2.71997777059125e-22,2.85257668690758e-20,8257.74984528801,6909.99880419224,375.852365447136,509.293185726879
"17","FCER2",12488.6996585539,4.3566050012837,0.452331895613732,9.63143444786838,5.89014098396571e-22,5.81391563005556e-20,22876.9825418969,24750.5311680982,1530.56229427332,796.722629947251
"18","KIAA1549L",307.610559558262,7.91988273981809,0.825321770399447,9.59611514426058,8.30144901748345e-22,7.7387952507429e-20,714.724486258249,511.744073022442,0,3.97367895235537
"19","QSOX1",5693.90013264123,3.88871718762269,0.411994154033026,9.43876787948542,3.77188491348604e-21,3.33116993938398e-19,9648.05569178225,11687.9729405225,648.809786741444,790.762111518718
"20","GLDC",708.901060437252,4.46695142513831,0.487959038530494,9.15435737923965,5.46822901124208e-20,4.5878441404321e-18,1593.27020364669,1120.89397812586,48.5892791832799,72.8507807931817
"21","TIGIT",816.270838563837,-5.37215028292688,0.591142653672069,-9.08773922767386,1.01119724474792e-19,8.07994750803335e-18,44.942107655184,32.7109137585368,758.850213127107,2428.58011971452
"22","SLC37A3",2177.08891732498,3.79788163891596,0.422609059494347,8.98674922743052,2.54650803478591e-19,1.94229112835034e-17,3737.44366242143,4387.62389881173,260.095553275204,323.19255479157
"23","IL4I1",1608.15096206436,3.99207367396605,0.445500932870401,8.96086490379442,3.22141539283243e-19,2.35023262137948e-17,3156.0957537205,2894.55241303319,232.94272079043,149.012960713326
"24","NKG7",250.455167232009,6.05447595048369,0.676132858629687,8.95456547216807,3.41076311943271e-19,2.38469188100337e-17,650.935688296053,336.558957115612,5.71638578626823,8.60963773010329
"25","RRAGD",1997.10124435266,3.79790627097177,0.424719787238211,8.94214582199734,3.81685485204532e-19,2.56187297669282e-17,3659.15741037692,3792.28526840636,305.82663956535,231.135659062004
"26","HOMER2",2217.41732706084,3.91602999911431,0.439608549926307,8.90799325848135,5.19645568981662e-19,3.35371255673549e-17,4723.27054001902,3596.74669504978,225.797238557595,323.854834616962
"27","BMP8A",597.672171942568,4.52877024733141,0.512939948631133,8.82904569904762,1.0557258436631e-18,6.56114061358028e-17,1467.14235313052,825.041935909761,42.8728933970117,55.6315053329751
"28","CABLES1",1042.54947806085,-4.73476994753895,0.536990119978992,-8.81723847679765,1.17317199208456e-18,7.03065215256391e-17,52.1908346963427,97.4058320809762,1266.17945165841,2754.42179380766
"29","FLT1",775.721067104473,3.97410366180648,0.451564242057009,8.80074924379145,1.35905716728466e-18,7.86378595415052e-17,1558.47631384912,1359.32019396586,85.7457867940234,99.3419738088841
"30","MAOA",275.420113474788,8.59470446813644,0.980303965538803,8.76738722913616,1.8286003156595e-18,1.02279710989222e-16,588.596635742088,509.56334543854,2.85819289313411,0.662279825392561
"31","BCL6",5768.96216635923,3.55050977183085,0.410074537011614,8.65820589033621,4.79247324432217e-18,2.51305315749144e-16,11655.9530821832,9606.1050070903,830.30503545546,983.485540707953
"32","SUCNR1",197.444501580568,6.78328149092801,0.78339681329272,8.6588065917922,4.76728898783245e-18,2.51305315749144e-16,494.363184207024,288.582950269758,2.85819289313411,3.97367895235537
"33","FN1",206.640979029723,7.35594638023714,0.853239193438738,8.62120075683712,6.62556327339368e-18,3.36899853719836e-16,355.187625016777,467.402612149759,0,3.97367895235537
"34","GZMH",205.446888803175,7.13779662909582,0.831836510472615,8.58076862368113,9.42412758830213e-18,4.65108414505029e-16,479.865730124707,337.285866310246,0,4.63595877774793
"35","IL4R",22046.2640640334,3.39571634765799,0.401040800543959,8.46725904958337,2.51234924018856e-17,1.20449200715326e-15,41175.669084598,39358.4983434661,3452.69701490601,4198.19181316344
"36","COL24A1",276.182014404619,5.71760694421833,0.677944996620055,8.43373278470065,3.34810716867078e-17,1.56058995250821e-15,585.697144925624,496.478979935125,18.5782538053717,3.97367895235537
"37","RNF125",2026.10031747052,3.62778851296727,0.436973053613292,8.30208746962635,1.02297844525795e-16,4.63934548957524e-15,4312.99258948943,3183.86227249758,347.270436515795,260.275971379276
"38","ABCA6",601.49275065597,-4.0491399117153,0.49201257585649,-8.2297488121449,1.87606427499428e-16,8.28430487747474e-15,78.2862520445141,59.6065539600003,893.18527910441,1374.89291751496
"39","DNAH7",285.660042156504,4.57620931485275,0.560741312418804,8.16099904448434,3.32264799128583e-16,1.42959059727632e-14,665.43314237837,431.057152418051,24.29463959164,21.8552342379545
"40","CYBRD1",412.194006191851,-4.52947323631244,0.557151026446861,-8.12970455281831,4.30338002040343e-16,1.80526791855924e-14,31.8943989810983,36.3454597317075,511.616527871006,1068.91963818359
"41","PDCD1",422.86024933019,-4.03447000447146,0.497622588270557,-8.10748969111892,5.16762510193107e-16,2.11494510269276e-14,55.0903255128062,42.8876424834149,724.551898409498,868.91113091504
"42","SOCS3",1401.44747057542,3.87486416982043,0.478276394324786,8.10172572972334,5.4184992941681e-16,2.16481947990811e-14,2389.18043276591,2856.75313491221,238.659106576698,121.197208046839
"43","RAB6B",256.467091854313,5.90157492046477,0.739875702627399,7.97644104206622,1.50613061527379e-15,5.87741202890561e-14,737.920412789957,269.68331120927,14.2909644656706,3.97367895235537
"44","CXCL8",314.27047691208,-7.16017490729762,0.902864905794222,-7.930505285283,2.18256020629797e-15,8.32349096856361e-14,4.34923622469523,4.3614551678049,1113.26613187574,135.105084380082
"45","MYOCD",272.213696143647,-9.04309891307737,1.14965450401577,-7.8659274429749,3.66372857448208e-15,1.3661636773291e-13,2.89949081646349,0,395.859715699075,690.095578059048
"46","BTBD19",274.220429015962,-4.74970612597805,0.605821693051423,-7.84010572822933,4.5016723279034e-15,1.64213177526563e-13,10.1482178576222,27.6225493960977,590.216832432194,468.894116377933
"47","LOC339260",269.148729505374,-4.57306526156053,0.594146522184668,-7.69686447838732,1.39445653182818e-14,4.97850651150573e-13,13.0477086740857,29.076367785366,434.445319756385,600.02552180566
"48","SDC2",247.41850679219,4.94380846946588,0.647981391783499,7.62955315099186,2.3556879575476e-14,8.23509248492682e-13,498.71242043172,457.952792619515,25.723736038207,7.28507807931817
"49","DUSP6",642.958305631206,4.70634703633431,0.620220869694921,7.58817909279528,3.24432298322225e-14,1.1110150950708e-12,1890.46801233419,585.161901680491,65.7384365420846,30.4648719680578
"50","ALOX15",152.7828981852,6.38531145244885,0.846582143407024,7.54245940831153,4.61189696052196e-14,1.54775261995117e-12,381.283042364948,223.888031947318,0,5.96051842853305
"51","AUH",1363.36524237531,3.3448910266603,0.444812420196976,7.51977884335847,5.48689759684607e-14,1.80529689558975e-12,2986.47554095739,1978.64682779416,238.659106576698,249.679494172995
"52","RAB19",228.730311425083,4.19482528622672,0.558141989254103,7.51569558820088,5.66091348336254e-14,1.82673323559276e-12,430.574386244828,436.872425975124,24.29463959164,23.1797938887396
"53","TOX",503.350934851918,4.08163141511674,0.543264826396006,7.51315236473912,5.77202822815212e-14,1.82744591827156e-12,1258.37901434515,644.041546445857,41.4437969504446,69.5393816662189
"54","LINC01013",175.098204004761,5.14316189467691,0.685068819193019,7.50751129023115,6.02619887856627e-14,1.8725855033767e-12,427.674895428364,254.418218121953,5.71638578626823,12.5833166824587
"55","ENPP3",167.797338846697,5.37054478111505,0.718579856246879,7.47383152258853,7.78928561804974e-14,2.37644023037954e-12,432.024131653059,222.43421355805,11.4327715725365,5.29823860314049
"56","TMEM132A",284.10228484231,-4.31469877044302,0.578904810777053,-7.45320938800194,9.10965297929169e-14,2.7296424462949e-12,21.7461811234761,31.9840045639026,387.285137019672,695.393816662189
"57","TBC1D4",1095.65040139929,3.70797240673537,0.498831577361625,7.43331532126985,1.05909023597201e-13,3.11781301045795e-12,2376.13272409183,1692.97151430294,211.506274091924,101.991093110454
"58","BAIAP3",901.067575454196,-3.2747541719403,0.44188627581563,-7.41085286230215,1.25489752614499e-13,3.6305483601229e-12,150.773522456101,186.088753826343,1553.42783741839,1713.98018811595
"59","CCR2",194.009526244517,5.75708132667262,0.777895028822061,7.40084601824794,1.35319573555518e-13,3.8485804140027e-12,224.71053827592,538.639713223906,1.42909644656706,11.2587570316735
"60","CNTNAP1",693.334701847256,-3.7931356085896,0.513657813748029,-7.38455739807026,1.52961358783488e-13,4.2778193339782e-12,89.8842153103681,96.678922886342,831.734131902027,1755.04153729029
"61","NR4A3",6756.10317618714,3.23276114840194,0.43835612353819,7.37473705695888,1.6466972707504e-13,4.52976724642488e-12,14245.1983812851,10182.5439984352,1030.37853797485,1566.29178705341
"62","PCDH9",2074.64803686094,3.27189268815062,0.445404820815879,7.34588521551533,2.04401736103359e-13,5.53203408357154e-12,4659.48174205682,2861.11459008002,368.706883214301,409.288932092603
"63","C1orf95",393.324763419775,-3.96394373866055,0.540491614035364,-7.33395974280776,2.2345024329404e-13,5.95157949599046e-12,52.1908346963427,42.8876424834149,968.927390772464,509.293185726879
"64","APCDD1",300.274129118365,10.3266884326853,1.41494877970891,7.2982772102957,2.91475639715914e-13,7.64212692880163e-12,666.882887786602,533.551348861467,0,0.662279825392561
"65","CLEC4A",325.376004494171,3.96854829320803,0.551341231860226,7.1979893102102,6.11069338896287e-13,1.57749900102764e-11,537.855546453977,686.929188929272,25.723736038207,50.9955465552272
"66","BMS1P5",1125.19071227781,3.70586625978252,0.516432885160348,7.17589132348123,7.18376037507456e-13,1.82641665293562e-11,2905.28979809641,1274.27181819367,190.069827393419,131.131405427727
"67","WNT10A",433.6772134116,-3.94459307226683,0.55171573227255,-7.14968387074774,8.69779723200624e-13,2.17834384407559e-11,36.2436352057936,68.3294642956102,583.071350199359,1047.06440394564
"68","GBA3",214.013604144013,11.2212523916631,1.5725400503378,7.13574982669127,9.62609498081098e-13,2.37538049673542e-11,604.543835232637,251.510581343416,0,0
"69","ARHGAP44",470.026268642789,-3.98060740036721,0.560074183946834,-7.10728598900227,1.18347042504407e-12,2.87806285974487e-11,42.0426168387205,69.0563734902443,553.060324821451,1215.94575942074
"70","CHSY1",2992.35427535629,2.89867810396448,0.408302283155955,7.09934336286164,1.25351025196243e-12,3.00484314684708e-11,5429.29655382788,5125.4367313654,661.671654760547,753.012161471342
"71","ABCA9",143.668257401293,-4.82482951448561,0.681771139301117,-7.076904897194,1.47409619872765e-12,3.48384988938733e-11,13.0477086740857,7.2690919463415,290.106578653112,264.249650331632
"72","EEPD1",363.301565356055,3.91612209699222,0.554019286782124,7.06856636659346,1.56542481237027e-12,3.64830949327405e-11,666.882887786602,694.198280875614,64.3093400955176,27.8157526664876
"73","ATHL1",3334.07030997926,-2.95965478696216,0.420064444119382,-7.04571602856497,1.8451020541233e-12,4.24120718742314e-11,824.905137283862,694.925190070248,5089.01244622529,6727.43846633763
"74","RGS9",157.507585173438,5.59487722618897,0.794743770908944,7.03985036559662,1.92446387194575e-12,4.36385186097969e-11,426.225150020132,189.723299799513,11.4327715725365,2.64911930157024
"75","SCN3A",539.533121147249,3.30307581017682,0.470329707537735,7.02289427446344,2.17318660536971e-12,4.86214283174718e-11,1039.46745770216,920.993949601469,85.7457867940234,111.925290491343
"76","CDH23",152.334052470086,-4.92124099682849,0.70212927548587,-7.00902407668874,2.39986158964686e-12,5.29864177293082e-11,10.1482178576222,9.44981953024396,194.35711673312,395.381055759359
"77","FOSL2",826.761476729606,3.24559235759285,0.465427942770437,6.97335088708603,3.09479438218306e-12,6.74424022506906e-11,1635.31282048541,1354.95873879806,192.928020286553,123.846327348409
"78","HECW2",174.253569500881,4.55902485995898,0.655997988924416,6.9497543238418,3.65922889575156e-12,7.87203344496296e-11,333.441443893301,336.558957115612,7.14548223283528,19.8683947617768
"79","NREP",542.41392790291,3.58327350039701,0.516169835552198,6.94204359416631,3.86467905094067e-12,8.20877398414993e-11,1320.71806689912,682.567733761467,74.313015221487,92.056895729566
"80","CTGF",314.31622971393,3.8483589943052,0.5566862049817,6.91297711325846,4.74586540309842e-12,9.95445268299894e-11,645.136706663126,532.097530472198,25.723736038207,54.30694568219
"81","HMGN2P46",110.341787772034,5.29602676548979,0.769478565211861,6.88261766464103,5.87625911134599e-12,1.21732873936279e-10,250.805955624092,179.546571074635,5.71638578626823,5.29823860314049
"82","NCALD",129.51425015537,5.15198501467407,0.751848179091441,6.85242733566224,7.26072707953357e-12,1.4857926877387e-10,339.240425526228,164.281477987318,8.57457867940234,5.96051842853305
"83","XBP1",6323.05452702645,3.01285912711333,0.442573387034511,6.8075921765228,9.92457229207655e-12,2.0064376272415e-10,8150.46868507886,14353.5489572459,1376.21987804408,1411.98058773694
"84","C1orf186",1365.96207306837,-3.29528893265466,0.487720754412699,-6.75650749499632,1.4135767155569e-11,2.82378777226724e-10,191.36639388659,312.570953692685,1784.94146176225,3174.96948293194
"85","PTPRS",1824.98204311294,-3.36743514197517,0.504063130561505,-6.68058212911543,2.37994957117081e-11,4.69830044755838e-10,334.891189301533,310.390226108782,1929.28020286553,4725.36655417592
"86","BCL7A",2360.58656486003,2.77609481217061,0.417640198103053,6.64709677080847,2.98930507534752e-11,5.8326208330618e-10,4226.00786499553,4012.53875438051,675.962619226218,527.837020837871
"87","PTGDR",156.461911930268,8.25420897769882,1.24282340433489,6.6414978579488,3.10511266126496e-11,5.98894143172714e-10,507.41089288111,115.57856194683,2.85819289313411,0
"88","RNF19A",9411.00603324232,2.70898917387035,0.408599296577504,6.62994086519799,3.35821378460118e-11,6.40350310290997e-10,18462.5077738312,14188.540570064,2390.87835510669,2602.09743396737
"89","MX1",2921.45640518209,2.84043594382325,0.428991730368088,6.62119043969932,3.56317561096685e-11,6.71798727550829e-10,4431.87171296444,5823.26955821418,608.795086237566,821.889263312168
"90","LIX1",134.518661378628,8.27683006331496,1.25551802424032,6.59236259736138,4.32881759388526e-11,8.07083991393273e-10,155.122758680796,381.627327182929,0,1.32455965078512
"91","GCNT1",2221.61785806287,2.85998442653153,0.437009305394766,6.54444743218454,5.97157642848484e-11,1.10113244472501e-09,4502.90923796779,3306.70992639075,624.515147149804,452.337120743119
"92","ASMT",162.407968532038,-5.08081616288762,0.778744357320198,-6.52436979494996,6.82880414314872e-11,1.23212186582834e-09,2.89949081646349,14.538183892683,177.207959374315,454.986240044689
"93","SLC39A8",2178.01361807776,2.683124229462,0.411235023544361,6.52455183981323,6.82051581624204e-11,1.23212186582834e-09,3938.95827416565,3599.65433182831,568.780385733688,604.661480583408
"94","GAS7",1533.16039376138,2.97922877685895,0.457803643604842,6.50765632488172,7.63323019599822e-11,1.36261279456224e-09,3238.73124198971,2202.53485974148,415.867065951014,275.508407363305
"95","FLJ23867",410.845783529912,3.19055685109007,0.490960226894121,6.49860554137746,8.10679130448646e-11,1.43191534830824e-09,668.332633194833,811.957570406346,92.8912690268587,70.2016614916114
"96","NEDD9",3903.64499535164,2.90649477331448,0.447712350850906,6.49187981477504,8.47718761495813e-11,1.48174175186456e-09,6793.50698297395,6985.59736043419,655.955268974279,1179.52036902415
"97","FCGBP",371.523372589177,-3.25769260330887,0.503747988628844,-6.46690940082164,1.00027579051638e-10,1.73037399637782e-09,73.9370158198189,66.8756459063418,790.290334951582,554.990493678966
"98","ADAMTS7",254.222680176332,-3.64967432005166,0.566478210279433,-6.44274440538735,1.1733220084138e-10,2.00901462256975e-09,49.2913438798793,26.8956402014636,528.765685229811,411.938051394173
"99","BLOC1S6",5701.9017494205,2.59230592521866,0.403008068348526,6.43239212515419,1.25611176854005e-10,2.12904600768707e-09,9091.35345502126,10471.8538578996,1673.47193893002,1570.92774583115
"100","ADCY1",163.133486289713,4.11108920576881,0.645089268426722,6.37289970083544,1.85487199715987e-10,3.08165862498442e-09,308.795771953361,306.755680135612,25.723736038207,11.2587570316735
"101","KLF5",170.96547807241,3.84799091934062,0.60379862194513,6.37297068838012,1.85401330325222e-10,3.08165862498442e-09,324.74297144391,315.478590471221,17.1491573588047,26.4911930157024
"102","HSBP1L1",151.67952342747,4.06765642285805,0.640674911390277,6.34901781003279,2.16693948743859e-10,3.56482790188427e-09,331.991698485069,241.333852618538,12.8618680191035,20.5306745871694
"103","ICAM1",1712.21874584956,2.70517992540332,0.430957107102262,6.27714424665795,3.44848128284316e-10,5.61801125496197e-09,2564.59962716195,3374.31248149173,407.292487271611,502.670387472954
"104","SLC41A1",3753.42752616405,2.58462255378554,0.412135703306082,6.27129009462693,3.58068776612879e-10,5.77730199188857e-09,7232.77984166817,5635.72698599857,1087.54239583753,1057.66088115192
"105","MACROD2",2316.27351632702,2.80288356871003,0.448269529045929,6.25267475725046,4.0348185048383e-10,6.44802423916064e-09,4760.96392063304,3341.60156773319,700.257258817858,462.271318124008
"106","ADGRA3",108.150473990033,5.61469795292837,0.901469412290644,6.22838432050773,4.71269863355706e-10,7.46029085576296e-09,334.891189301533,88.6829217453664,5.71638578626823,3.3113991269628
"107","CCL22",27538.9284136842,-3.71430605632613,0.599072516791805,-6.20009423269363,5.64293639967384e-10,8.84938998004925e-09,2115.17855061011,5681.52226526052,23400.025216089,78958.9876227773
"108","CD200",1550.27016639421,2.62538399675206,0.426444303086576,6.15645226762252,7.43925824335885e-10,1.1558403085515e-08,3024.16892157142,2312.29814813123,430.158030416684,434.45556545752
"109","PADI2",327.621811677651,-4.87093693577986,0.791528427604751,-6.15383701444537,7.56304101937849e-10,1.16429200279973e-08,1.44974540823174,39.9800057048783,427.29983752355,841.757658073945
"110","KIF26B",350.297778979603,-3.23667903576977,0.528082004589454,-6.12912200688615,8.83653459791752e-10,1.34797318684596e-08,85.5349790856728,50.1567344297564,541.627553248915,723.871849154069
"111","MAP3K8",4127.30692921228,2.6191283647099,0.427681244643824,6.12401969343109,9.12436115663068e-10,1.3793403622366e-08,8309.94067998435,5889.41829492589,1011.80028416948,1298.06845776942
"112","ATP8B1",84.387596267092,-5.15877245383061,0.843733659390331,-6.11421909795356,9.70309198721848e-10,1.45373110308506e-08,2.89949081646349,5.8152735570732,158.629705568943,170.205915125888
"113","DFNB31",867.698167131155,-2.76190164035186,0.451934786252747,-6.11128358419229,9.88329618498232e-10,1.46762575207083e-08,263.853664298177,183.181117047806,1590.58434502913,1433.1735421495
"114","INSR",452.097555062893,3.24380852081345,0.531494034444998,6.10318895526405,1.0397280111363e-09,1.53040666902343e-08,591.496126558551,1045.29542188391,64.3093400955176,107.289331713595
"115","MDFIC",6516.18471616167,-2.54036535216762,0.416963024291827,-6.09254347308659,1.11130651088957e-09,1.62154115241104e-08,1873.07106743541,1950.29736920343,9199.09382655214,13042.2766014557
"116","DGKG",729.808515994371,-3.52954393390939,0.580247069474021,-6.08282940077376,1.18079970149792e-09,1.70808784406337e-08,140.625304598479,93.0443769131713,643.093400955176,2042.47098151066
"117","TREML2",1173.73906268446,2.72516263486004,0.448240320686545,6.07969098069102,1.20414384204626e-09,1.72696868970395e-08,1997.74917254334,2078.96029665367,375.852365447136,242.394416093677
"118","TMPRSS6",93.8747805269944,-7.65732377018843,1.26431640831792,-6.05649323208258,1.39120991115301e-09,1.97834765331759e-08,0,1.4538183892683,142.909644656706,231.135659062004
"119","TNFRSF18",158.636932894529,-3.71103734169498,0.613474962374705,-6.04920749712408,1.45560084573528e-09,2.05251951188555e-08,27.5451627564031,18.1727298658538,281.53199997371,307.297838982148
"120","COL6A1",301.875701951302,-3.28933636649193,0.544907818670832,-6.03650058557693,1.57492180426557e-09,2.18881135958154e-08,63.7887979621967,48.7029160404881,691.682680138455,403.32841366407
"121","CXCL13",139.743792776504,5.03874230873501,0.834760933553317,6.03615011939604,1.57834430577691e-09,2.18881135958154e-08,453.770312776536,88.6829217453664,8.57457867940234,7.94735790471073
"122","CMTM3",855.425431480617,2.66370920993962,0.442116383491709,6.02490500103707,1.69208981810058e-09,2.32731697932195e-08,1655.60925620065,1299.71364000586,237.230010130131,229.148819585826
"123","WNT3",239.675953720028,-3.22409371910608,0.535574857305944,-6.0198750466442,1.7455176486553e-09,2.38128342637691e-08,49.2913438798793,43.614551678049,464.456345134293,401.341574187892
"124","C10orf128",2005.56968986098,2.59139507047253,0.433639174450876,5.97592473916604,2.2878861245343e-09,3.07801128152133e-08,4085.38256039705,2794.96585336831,608.795086237566,533.135259441011
"125","GZMA",82.3341466326998,9.8408886131107,1.64685444310681,5.97556672619211,2.29291662807012e-09,3.07801128152133e-08,242.107483174701,87.2291033560981,0,0
"126","AP1B1",14777.7199730412,2.3887120050259,0.400450916036371,5.96505566442241,2.44550658179195e-09,3.25679368591023e-08,22588.4832056588,27044.6565863636,4733.16743103009,4744.57266911231
"127","F13A1",173.562412870287,3.8610193385868,0.648635610938848,5.95252445822128,2.64037660397353e-09,3.48862357595873e-08,359.536861241472,291.490587048294,11.4327715725365,31.7894316188429
"128","FKBP15",3923.17625763415,2.5243561301959,0.424277029856151,5.94978269516917,2.68498722545797e-09,3.51985044087381e-08,7847.47189475842,5522.32915163564,1063.24775624589,1259.65622789665
"129","ARHGAP22",288.30192463997,3.27803044974038,0.552749301715428,5.93041083827186,3.02177636583615e-09,3.93065173788609e-08,497.262675023488,546.635714364881,72.8839187749199,36.4253903965908
"130","TNFRSF9",1218.45266287172,2.60871608292781,0.440096410812372,5.92760135923942,3.07391614252221e-09,3.96771637473251e-08,2361.63527000951,1826.72280611562,298.681157332515,386.771418029256
"131","GRIK4",114.852080537748,-5.29002867255031,0.89414226518026,-5.9163165399455,3.29231319574681e-09,4.21717674997187e-08,0,10.1767287248781,138.622355317004,310.609238109111
"132","MYADM",446.145860966345,2.85867990099346,0.483987152866832,5.90652021249006,3.49409444192021e-09,4.40833870191136e-08,737.920412789957,829.403391077566,127.189583744468,90.0700562533883
"133","PPP1R14A",73.6217440346633,5.44730199389807,0.922105458176806,5.90746095860718,3.47420627618296e-09,4.40833870191136e-08,108.730905617381,178.819661880001,4.28728933970117,2.64911930157024
"134","SLAMF6",4308.32562341194,2.39352824466034,0.406491164257595,5.88826635145149,3.90267792815508e-09,4.88708474883897e-08,7890.96425700538,6587.25112177467,1349.0670455593,1406.02006930841
"135","MIR4435-2HG",246.25112692426,3.12768108500349,0.532521266664064,5.87334493624376,4.27088517589448e-09,5.30855209270439e-08,492.913438798793,391.077146713173,50.018375629847,50.9955465552272
"136","SLC37A2",676.843788955789,-2.60287426147528,0.444402604734763,-5.8570184642117,4.71250750720702e-09,5.81440264492161e-08,187.017157661895,195.538573356587,1134.70257857424,1190.11684623043
"137","CD209",83.2183452397731,9.85548283139176,1.68472058912311,5.84992128369578,4.91805705352148e-09,6.02372243489712e-08,276.901372972263,55.9720079868296,0,0
"138","KLRAP1",483.400470340588,2.85269871367504,0.489194849830557,5.83141608024518,5.49589504742435e-09,6.68268977505656e-08,968.429932698804,729.089922218053,140.051451763572,96.0305746819213
"139","LMCD1",112.31565687411,-4.53811549873981,0.78014606708194,-5.81700746850419,5.99104661641446e-09,7.2323569944917e-08,14.4974540823174,5.08836436243905,142.909644656706,286.767164394979
"140","FRMPD1",94.6900726699796,-6.05337977886818,1.04193046823068,-5.8097732655304,6.2557506659717e-09,7.49796401250037e-08,5.79898163292697,0.726909194634151,72.8839187749199,299.350481077438
"141","HS3ST1",417.129467720637,3.39370564396145,0.584686542702821,5.80431632353538,6.4629163791119e-09,7.53109283621511e-08,617.591543906722,907.909584098054,35.7274111641764,107.289331713595
"142","MMP12",75.2518732113125,9.71039293394211,1.67255222938751,5.80573375427448,6.40847278123028e-09,7.53109283621511e-08,234.858756133542,66.1487367117077,0,0
"143","PRF1",260.249533989365,3.54673543078726,0.61077857184523,5.80690874611429,6.36367967097516e-09,7.53109283621511e-08,682.830087277151,276.952403155611,32.8692182710423,48.3464272536569
"144","SRMS",95.740463911588,-4.60720237790799,0.793709318895685,-5.80464695099983,6.45017687058744e-09,7.53109283621511e-08,11.5979632658539,4.3614551678049,218.65175632476,148.350680887934
"145","ESPNL",151.378086149507,3.63888933028189,0.629949625358563,5.77647669559397,7.62810620232227e-09,8.82756014310122e-08,224.71053827592,335.105138726343,27.1528324847741,18.5438351109917
